在厩,アヤノバンマツリ,牝,スウェプトオーヴァーボード,ガッダムブランシュ,ミュージックタイム,ショウナンダンク,神田　紘爾,美浦,相沢郁,神垣　道弘,2013/02/28,,,地獄モード対象馬,,,2015/06/05
在厩,アルゴノート,牡,ゴールドアリュール,タイトーク,Black Tie Affair,スタッドジェルラン,ノースヒルズ,栗東,安田隆行,鳥井牧場,2013/04/28,,,地獄モード対象馬,,,2015/06/05
在厩,アルマククナ,牝,マイネルラヴ,トップキララ,ステイゴールド,ティンホイッスル,コウトミックレーシング,美浦,中舘英二,大西ファーム,2013/04/17,,,地獄モード対象馬,,,2015/06/05
在厩,アレグロイモン,牝,ソングオブウインド,モルフェグラン,ニューイングランド,,井門　敏雄,美浦,松永康利,坂本　智広,2013/02/23,北海道オータムセール,1080000,地獄モード対象馬,,,2015/06/05
在厩,アンダーザサン,牡,トーセンファントム,トーセンスクリュー,フレンチデピュティ,,島川　隆哉,美浦,池上昌和,エスティファーム,2013/03/31,,,地獄モード対象馬,,,2015/06/05
在厩,アンデスコンドル,牡,アンライバルド,ラピカラ,Onward,エスタンシア,スピードファーム,美浦,佐藤吉勝,谷川牧場,2013/04/16,北海道サマーセール,2700000,地獄モード対象馬,,,2015/06/05
在厩,イーグルバイオ,牡,シンボリクリスエス,ケイパブルバイオ,ジェリ,アロウィーバイオ,バイオ,栗東,西浦勝一,清水牧場,2013/03/20,,,地獄モード対象馬,,,2015/06/05
在厩,イイデシロ,牝,ファルブラヴ,イイデサンドラ,サクラプレジデント,,アールエスエーカントリ,栗東,北出成人,山岡ファーム,2013/04/08,,,地獄モード対象馬,,,2015/06/05
在厩,イエスアイゲット,牝,トーセンファントム,トーセンジョウオー,ティンバーカントリー,トーセンセラヴィ,島川　隆哉,美浦,成島英春,エスティファーム,2013/03/25,,,地獄モード対象馬,,,2015/06/05
在厩,イエスウチダ,牝,ハーツクライ,ケイアイリュージン,グルームダンサー,エルドラゴン,内田　玄祥,美浦,星野忍,田中　裕之,2013/04/20,,,,,,2015/06/05
在厩,イチザアイバー,牝,スウェプトオーヴァーボード,ダークアイボリー,ダンスインザダーク,ボードメンバー,奈良崎　孝一郎,栗東,坪憲章,荒谷　輝和,2013/04/15,北海道サマーセール,1296000,地獄モード対象馬,,,2015/06/05
在厩,イノデライト,牡,フレンチデピュティ,ウインクルアーリー,Thunder Gulch,ジークジオン,井上　久光,美浦,柴田政人,猪野毛牧場,2013/04/01,北海道サマーセール,5400000,地獄モード対象馬,,,2015/06/05
